PN,identity,num,average_read_len,coverage,speed,basecall_LT
B1,86.33867430013485,6026,5610.458513109857,0.7632998359264181,2.50460352264973,37.27357835490652
B2,85.83243727197676,4877,5525.282755792496,0.7576288928116531,2.5113764759663244,36.5696099514729
B3,86.13980867860721,5236,5108.96256684492,0.7547551289743198,2.299017182628648,36.97508248026484
B4,85.86458248531511,5515,5490.628830462375,0.76095059810595,2.46722549498566,37.00026456331218
B14,86.01841834153232,5740,5915.67212543554,0.7605447905749608,2.6617284269070067,36.89801684088269
B15,85.86870841551203,5250,5188.348,0.7549192603812205,2.323360508967529,37.10276990476191
